black	#000000
abyssal blue	#00005F
deep blue	#000080
navy blue	#000087
cobalt	#0000AF
medium blue	#0000D7
blue	#0000FF
emerald green	#005F00
emerald stone	#005F5F
impulse	#005F87
cobalt stone	#005FAF
royal navy blue	#005FD7
bright blue	#005FFF
moth green	#008000
teal	#008080
hulk	#008700
absinthe turquoise	#00875F
navigate	#008787
tiny bubbles	#0087AF
blue cola	#0087D7
azure	#0087FF
waystone green	#00AF00
jungle	#00AF5F
arcadia	#00AF87
jade orchid	#00AFAF
maldives	#00AFD7
democrat	#00AFFF
tunic green	#00D700
limonana	#00D75F
aqua green	#00D787
pristine oceanic	#00D7AF
jade glass	#00D7D7
tropical turquoise	#00D7FF
green	#00FF00
cathode green	#00FF5F
turquoise green	#00FF87
night pearl	#00FFAF
plunge pool	#00FFD7
fluorescent turquoise	#00FFFF
badab black wash	#080808
dark tone ink	#121212
gluon grey	#1C1C1C
nero	#262626
coated	#303030
limousine leather	#3A3A3A
medium black	#444444
thunder	#4E4E4E
carbon dating	#585858
red blood	#5F0000
clear plum	#5F005F
zeus purple	#5F0087
purplue	#5F00AF
space opera	#5F00D7
bright indigo	#5F00FF
mud green	#5F5F00
iron	#5F5F5F
idol	#5F5F87
blue iris	#5F5FAF
ameixa	#5F5FD7
blue genie	#5F5FFF
olive green	#5F8700
hippie green	#5F875F
steel teal	#5F8787
sand shark	#5F87AF
livid	#5F87D7
deep denim	#5F87FF
emerald glitter	#5FAF00
endo	#5FAF5F
jade cream	#5FAF87
aquarelle	#5FAFAF
flyway	#5FAFD7
tiān lán sky	#5FAFFF
tropical funk	#5FD700
loud green	#5FD75F
snow pea	#5FD787
jamaican jade	#5FD7AF
jazzy jade	#5FD7D7
skyan	#5FD7FF
bright green	#5FFF00
biopunk	#5FFF5F
light green	#5FFF87
sea green	#5FFFAF
icy life	#5FFFD7
frozen turquoise	#5FFFFF
digital	#626262
dark ash	#6C6C6C
steel wool	#767676
maroon	#800000
ultraberry	#800080
verde tropa	#808000
grey	#808080
dark red	#870000
grapest	#87005F
purple	#870087
shiffurple	#8700AF
violet ink	#8700D7
star platinum purple	#8700FF
ground earth	#875F00
tarsier	#875F5F
candy violet	#875F87
knight elf	#875FAF
amethyst	#875FD7
irrigo purple	#875FFF
heart gold	#878700
bandicoot	#87875F
jumbo	#878787
skysail blue	#8787AF
adora	#8787D7
orchid	#8787FF
grasping grass	#87AF00
celuce	#87AF5F
peapod	#87AF87
hydrology	#87AFAF
reform	#87AFD7
fly away	#87AFFF
overgrown	#87D700
vivid spring	#87D75F
de york	#87D787
jovial jade	#87D7AF
vic 20 sky	#87D7D7
clear sky	#87D7FF
lasting lime	#87FF00
